TTIME_S,TRXI_M,TRYI_M,TRZI_M,TGRNKM_KM,TALTKM_KM,TDRNGE_M,TCRNGE_M,TVRMAG_M/S,TAIMAG_M/S2,TABXB_M/S2,TABYB_M/S2,TABZB_M/S2,TPITCH_DEG,THEADG_DEG,TAMACH
0.00000,-3.005782E+006,-1.570904E+006,5.383572E+006,0.00000,1.000000E-003,0.00000,-0.00000,0.100000,12.9708,22.7979,0.00000,-5.156571E-019,89.9900,195.326,2.938669E-004
0.100000,-3.005771E+006,-1.570926E+006,5.383572E+006,2.057986E-007,1.074936E-003,0.00000,3.646705E-005,1.39905,12.9912,22.8183,-3.173927E-010,-1.322249E-008,89.9899,195.326,4.111361E-003
0.200000,-3.005759E+006,-1.570948E+006,5.383572E+006,7.664887E-007,1.279879E-003,0.00000,1.378185E-004,2.70015,13.0116,22.8387,-2.474422E-009,-5.142556E-008,89.9899,195.327,7.934869E-003
0.300000,-3.005748E+006,-1.570970E+006,5.383573E+006,1.682722E-006,1.615034E-003,0.00000,3.060129E-004,4.00329,13.0321,22.8592,-8.287740E-009,-1.152279E-007,89.9898,195.327,1.176442E-002
0.400000,-3.005737E+006,-1.570992E+006,5.383573E+006,2.955157E-006,2.080605E-003,0.00000,5.430259E-004,5.30847,13.0525,22.8796,-1.958791E-008,-2.052499E-007,89.9897,195.327,1.560004E-002
0.500000,-3.005726E+006,-1.571014E+006,5.383573E+006,4.584458E-006,2.676797E-003,0.00000,8.508266E-004,6.61571,13.0731,22.9002,-3.821921E-008,-3.221139E-007,89.9897,195.328,1.944175E-002
0.600000,-3.005715E+006,-1.571036E+006,5.383574E+006,6.571300E-006,3.403815E-003,0.00000,1.231391E-003,7.92500,13.0936,22.9207,-6.603941E-008,-4.664439E-007,89.9896,195.328,2.328959E-002
0.700000,-3.005704E+006,-1.571058E+006,5.383575E+006,8.916365E-006,4.261866E-003,0.00000,1.686701E-003,9.23635,13.1142,22.9413,-1.049196E-007,-6.388653E-007,89.9895,195.329,2.714358E-002
0.800000,-3.005693E+006,-1.571080E+006,5.383576E+006,1.162034E-005,5.251154E-003,0.00000,2.218738E-003,10.5498,13.1349,22.9620,-1.567439E-007,-8.400053E-007,89.9894,195.329,3.100374E-002
0.900000,-3.005682E+006,-1.571103E+006,5.383577E+006,1.468393E-005,6.371887E-003,0.00000,2.829484E-003,11.8652,13.1555,22.9826,-2.234093E-007,-1.070492E-006,89.9893,195.329,3.487012E-002
