TTIME_S,TRXI_M,TRYI_M,TRZI_M,TGRNKM_KM,TALTKM_KM,TDRNGE_M,TCRNGE_M,TVRMAG_M/S,TAIMAG_M/S2,TABXB_M/S2,TABYB_M/S2,TABZB_M/S2,TPITCH_DEG,THEADG_DEG,TAMACH
0.00000,-3.005782E+006,-1.570904E+006,5.383572E+006,0.00000,1.000000E-003,0.00000,-0.00000,0.100000,12.9708,22.7979,0.00000,-1.843075E-019,89.9900,169.712,2.938669E-004
0.100000,-3.005771E+006,-1.570926E+006,5.383572E+006,2.053181E-007,1.074936E-003,0.00000,2.692400E-005,1.39905,12.9912,22.8183,-3.811589E-010,-1.306374E-008,89.9900,169.712,4.111361E-003
0.200000,-3.005759E+006,-1.570948E+006,5.383572E+006,7.645705E-007,1.279879E-003,0.00000,1.011716E-004,2.70015,13.0116,22.8387,-2.745990E-009,-5.023918E-008,89.9901,169.713,7.934869E-003
0.300000,-3.005748E+006,-1.570970E+006,5.383573E+006,1.678315E-006,1.615034E-003,0.00000,2.246868E-004,4.00329,13.0321,22.8592,-8.948378E-009,-1.113108E-007,89.9901,169.713,1.176442E-002
0.400000,-3.005737E+006,-1.570992E+006,5.383573E+006,2.947113E-006,2.080605E-003,0.00000,3.994313E-004,5.30847,13.0525,22.8796,-2.085640E-008,-1.960585E-007,89.9901,169.713,1.560004E-002
0.500000,-3.005726E+006,-1.571014E+006,5.383573E+006,4.571536E-006,2.676797E-003,0.00000,6.273558E-004,6.61571,13.0731,22.9002,-4.035212E-008,-3.042578E-007,89.9901,169.714,1.944175E-002
0.600000,-3.005715E+006,-1.571036E+006,5.383574E+006,6.552164E-006,3.403815E-003,0.00000,9.104244E-004,7.92500,13.0936,22.9207,-6.933137E-008,-4.356795E-007,89.9902,169.714,2.328959E-002
0.700000,-3.005704E+006,-1.571058E+006,5.383575E+006,8.889582E-006,4.261866E-003,0.00000,1.250602E-003,9.23635,13.1142,22.9413,-1.097036E-007,-5.900901E-007,89.9902,169.714,2.714358E-002
0.800000,-3.005693E+006,-1.571080E+006,5.383576E+006,1.158439E-005,5.251154E-003,0.00000,1.649852E-003,10.5498,13.1349,22.9620,-1.633914E-007,-7.672514E-007,89.9902,169.715,3.100374E-002
0.900000,-3.005682E+006,-1.571103E+006,5.383577E+006,1.463718E-005,6.371887E-003,0.00000,2.110147E-003,11.8652,13.1555,22.9826,-2.323308E-007,-9.669209E-007,89.9902,169.715,3.487012E-002
1.00000,-3.005671E+006,-1.571125E+006,5.383578E+006,1.804857E-005,7.624271E-003,0.00000,2.633462E-003,13.1828,13.1763,23.0033,-3.184705E-007,-1.188852E-006,89.9902,169.715,3.874273E-002
1.10000,-3.005660E+006,-1.571147E+006,5.383579E+006,2.181918E-005,9.008513E-003,0.00000,3.221770E-003,14.5024,13.1970,23.0241,-4.237719E-007,-1.432792E-006,89.9901,169.716,4.262161E-002
1.20000,-3.005649E+006,-1.571169E+006,5.383580E+006,2.594964E-005,1.052482E-002,0.00000,3.877056E-003,15.8241,13.2178,23.0449,-5.502089E-007,-1.698486E-006,89.9901,169.716,4.650678E-002
1.30000,-3.005639E+006,-1.571192E+006,5.383582E+006,3.044058E-005,1.217340E-002,0.00000,4.601300E-003,17.1479,13.2386,23.0657,-6.997674E-007,-1.985674E-006,89.9901,169.716,5.039827E-002
