TTIME_S,TRXI_M,TRYI_M,TRZI_M,TGRNKM_KM,TALTKM_KM,TDRNGE_M,TCRNGE_M,TVRMAG_M/S,TAIMAG_M/S2,TABXB_M/S2,TABYB_M/S2,TABZB_M/S2,TPITCH_DEG,THEADG_DEG,TAMACH
0.00000,-3.005782E+006,-1.570904E+006,5.383572E+006,0.00000,1.000000E-003,0.00000,-0.00000,0.100000,12.9708,22.7979,0.00000,-4.881152E-019,89.9900,184.478,2.938669E-004
0.100000,-3.005771E+006,-1.570926E+006,5.383572E+006,2.050141E-007,1.074936E-003,0.00000,3.237813E-005,1.39905,12.9912,22.8183,-3.530582E-010,-1.315885E-008,89.9900,184.478,4.111361E-003
0.200000,-3.005759E+006,-1.570948E+006,5.383572E+006,7.634462E-007,1.279879E-003,0.00000,1.221091E-004,2.70015,13.0116,22.8387,-2.654277E-009,-5.093873E-008,89.9900,184.479,7.934869E-003
0.300000,-3.005748E+006,-1.570970E+006,5.383573E+006,1.675901E-006,1.615034E-003,0.00000,2.711531E-004,4.00329,13.0321,22.8592,-8.781763E-009,-1.136076E-007,89.9899,184.479,1.176442E-002
0.400000,-3.005737E+006,-1.570992E+006,5.383573E+006,2.942998E-006,2.080605E-003,0.00000,4.814727E-004,5.30847,13.0525,22.8796,-2.062801E-008,-2.014324E-007,89.9899,184.479,1.560004E-002
0.500000,-3.005726E+006,-1.571014E+006,5.383573E+006,4.565362E-006,2.676797E-003,0.00000,7.550371E-004,6.61571,13.0731,22.9002,-4.009966E-008,-3.146796E-007,89.9899,184.480,1.944175E-002
0.600000,-3.005715E+006,-1.571036E+006,5.383574E+006,6.543627E-006,3.403815E-003,0.00000,1.093810E-003,7.92500,13.0936,22.9207,-6.911735E-008,-4.536142E-007,89.9898,184.480,2.328959E-002
0.700000,-3.005704E+006,-1.571058E+006,5.383575E+006,8.878435E-006,4.261866E-003,0.00000,1.499768E-003,9.23635,13.1142,22.9413,-1.096154E-007,-6.185008E-007,89.9898,184.480,2.714358E-002
0.800000,-3.005693E+006,-1.571080E+006,5.383576E+006,1.157044E-005,5.251154E-003,0.00000,1.974885E-003,10.5498,13.1349,22.9620,-1.635418E-007,-8.096025E-007,89.9897,184.481,3.100374E-002
0.900000,-3.005682E+006,-1.571103E+006,5.383577E+006,1.462028E-005,6.371887E-003,0.00000,2.521143E-003,11.8652,13.1555,22.9826,-2.328576E-007,-1.027182E-006,89.9897,184.481,3.487012E-002
1.00000,-3.005671E+006,-1.571125E+006,5.383578E+006,1.802865E-005,7.624271E-003,0.00000,3.140521E-003,13.1828,13.1763,23.0033,-3.195371E-007,-1.271499E-006,89.9896,184.481,3.874273E-002
1.10000,-3.005660E+006,-1.571147E+006,5.383579E+006,2.179620E-005,9.008513E-003,0.00000,3.835007E-003,14.5024,13.1970,23.0241,-4.255673E-007,-1.542816E-006,89.9895,184.482,4.262161E-002
1.20000,-3.005649E+006,-1.571169E+006,5.383580E+006,2.592362E-005,1.052482E-002,0.00000,4.606584E-003,15.8241,13.2178,23.0449,-5.529479E-007,-1.841389E-006,89.9895,184.482,4.650678E-002
1.30000,-3.005639E+006,-1.571192E+006,5.383582E+006,3.041161E-005,1.217340E-002,0.00000,5.457252E-003,17.1479,13.2386,23.0657,-7.036909E-007,-2.167478E-006,89.9894,184.483,5.039827E-002
1.40000,-3.005628E+006,-1.571214E+006,5.383583E+006,3.526085E-005,1.395446E-002,0.00000,6.388998E-003,18.4737,13.2595,23.0865,-8.798204E-007,-2.521338E-006,89.9893,184.483,5.429611E-002
1.50000,-3.005617E+006,-1.571236E+006,5.383585E+006,4.047206E-005,1.586822E-002,0.00000,7.403827E-003,19.8017,13.2803,23.1074,-1.083372E-006,-2.903225E-006,89.9892,184.483,5.820033E-002
1.60000,-3.005607E+006,-1.571259E+006,5.383586E+006,4.604594E-005,1.791487E-002,0.00000,8.503735E-003,21.1317,13.3013,23.1283,-1.316394E-006,-3.313391E-006,89.9891,184.484,6.211095E-002
1.70000,-3.005596E+006,-1.571281E+006,5.383588E+006,5.198322E-005,2.009463E-002,0.00000,9.690728E-003,22.4638,13.3222,23.1493,-1.580945E-006,-3.752090E-006,89.9890,184.484,6.602802E-002
1.80000,-3.005586E+006,-1.571304E+006,5.383590E+006,5.828464E-005,2.240771E-002,0.00000,1.096681E-002,23.7981,13.3432,23.1703,-1.879095E-006,-4.219572E-006,89.9889,184.484,6.995155E-002
1.90000,-3.005576E+006,-1.571326E+006,5.383592E+006,6.495093E-005,2.485431E-002,0.00000,1.233400E-002,25.1344,13.3643,23.1913,-2.212925E-006,-4.716086E-006,89.9889,184.485,7.388157E-002
2.00000,-3.005566E+006,-1.571349E+006,5.383594E+006,7.198283E-005,2.743466E-002,9.493543E-002,1.379431E-002,26.4728,13.3854,23.2124,-2.584526E-006,-5.241880E-006,89.9887,184.485,7.781812E-002
2.10000,-3.005555E+006,-1.571371E+006,5.383597E+006,7.938110E-005,3.014895E-002,9.493543E-002,1.534974E-002,27.8134,13.4065,23.2335,-2.995999E-006,-5.797200E-006,89.9886,184.485,8.176122E-002
2.20000,-3.005545E+006,-1.571394E+006,5.383599E+006,8.714651E-005,3.299741E-002,9.493543E-002,1.700233E-002,29.1561,13.4276,23.2546,-3.449457E-006,-6.382291E-006,89.9885,184.486,8.571091E-002
2.30000,-3.005535E+006,-1.571417E+006,5.383602E+006,9.527982E-005,3.598023E-002,9.493543E-002,1.875410E-002,30.5008,13.4488,23.2758,-3.947020E-006,-6.997395E-006,89.9884,184.486,8.966721E-002
